x,y,demand,open,close,servicetime,drone_serve,time
33.333333333333336,41.66666666666667,0.0,0.0,3390.0,5,1,0.0
37.5,58.333333333333336,30.0,22.0,563.0,5,0,0.0
35.0,54.16666666666667,10.0,15.0,402.0,5,1,0.0
25.0,41.66666666666667,10.0,10.0,645.0,5,1,0.0
23.333333333333336,43.333333333333336,20.0,12.0,505.0,5,0,0.0
20.833333333333336,41.66666666666667,10.0,23.0,368.0,5,1,0.0
0.0,37.5,20.0,1036.0,1439.0,5,0,0.0
27.5,26.666666666666668,20.0,2529.0,2962.0,5,0,0.0
27.5,29.166666666666668,10.0,2463.0,2842.0,5,1,0.0
30.0,33.333333333333336,10.0,2715.0,3156.0,5,1,0.0
41.66666666666667,25.0,10.0,223.0,738.0,5,0,0.0
41.66666666666667,29.166666666666668,20.0,18.0,474.0,5,0,0.0
41.66666666666667,33.333333333333336,50.0,14.0,360.0,5,0,0.0
39.16666666666667,33.333333333333336,10.0,12.0,424.0,5,1,0.0
44.16666666666667,25.0,10.0,131.0,644.0,5,1,0.0
37.5,54.16666666666667,20.0,15.0,607.0,5,0,0.0
71.66666666666667,38.333333333333336,30.0,1829.0,2388.0,5,0,0.0
53.333333333333336,38.333333333333336,20.0,2976.0,3275.0,5,0,0.0
54.16666666666667,50.0,30.0,1338.0,1913.0,5,0,0.0
46.66666666666667,53.333333333333336,10.0,1116.0,1753.0,5,1,0.0
35.0,48.333333333333336,40.0,8.0,509.0,5,0,0.0
45.833333333333336,66.66666666666667,10.0,272.0,701.0,5,1,0.0
45.833333333333336,70.83333333333334,20.0,373.0,790.0,5,0,0.0
43.333333333333336,62.5,10.0,213.0,568.0,5,0,3.3072862371403184
16.666666666666668,45.833333333333336,10.0,170.0,595.0,5,1,4.532823929275487
19.166666666666668,43.333333333333336,10.0,93.0,484.0,5,1,15.201333454643699
44.16666666666667,29.166666666666668,50.0,87.0,498.0,5,0,18.95223394446782
30.0,15.0,10.0,1612.0,2185.0,5,1,54.479838958284226
37.5,29.166666666666668,10.0,534.0,985.0,5,1,63.133691478937735
50.0,55.0,10.0,1154.0,1527.0,5,1,76.11062434618499
16.666666666666668,41.66666666666667,10.0,168.0,787.0,5,1,91.78974308340982
40.0,25.0,10.0,246.0,899.0,5,1,92.28057644886535
35.0,12.5,10.0,897.0,1392.0,5,0,116.5970995267387
33.333333333333336,4.166666666666667,30.0,1199.0,1660.0,5,0,131.51980348426846
58.333333333333336,48.333333333333336,20.0,1513.0,1928.0,5,0,148.65719968605688
6.666666666666667,33.333333333333336,40.0,499.0,1030.0,5,0,163.97576230750212
55.833333333333336,70.83333333333334,20.0,518.0,1029.0,5,0,169.10053703943558
51.66666666666667,66.66666666666667,30.0,744.0,1177.0,5,0,184.48666012446273
55.0,45.833333333333336,10.0,1604.0,2027.0,5,1,197.8611168832004
3.3333333333333335,45.833333333333336,20.0,1268.0,1785.0,5,0,202.91388870701195
50.0,70.83333333333334,30.0,397.0,956.0,5,0,203.262103208662
13.333333333333334,35.0,20.0,331.0,822.0,5,0,205.67377942378297
1.6666666666666667,33.333333333333336,20.0,772.0,1329.0,5,0,216.35330023733258
36.66666666666667,20.833333333333336,10.0,704.0,1197.0,5,0,217.46342118624165
39.16666666666667,29.166666666666668,10.0,393.0,942.0,5,1,224.0323585424007
31.666666666666668,4.166666666666667,30.0,1263.0,1780.0,5,0,226.30120584504638
60.0,45.833333333333336,10.0,1591.0,2232.0,5,1,234.04352649861198
4.166666666666667,37.5,10.0,1076.0,1589.0,5,0,250.521148951054
26.666666666666668,16.666666666666668,10.0,1745.0,2240.0,5,1,254.05511366919177
36.66666666666667,4.166666666666667,20.0,1078.0,1593.0,5,0,281.10260083063787
20.833333333333336,25.0,10.0,2015.0,2544.0,5,1,318.33443832974893
4.166666666666667,29.166666666666668,10.0,666.0,1245.0,5,1,320.62084909813365
8.333333333333334,33.333333333333336,30.0,448.0,897.0,5,0,332.648835836684
11.666666666666668,55.0,10.0,1519.0,1926.0,5,1,337.33876749794973
54.16666666666667,68.33333333333334,10.0,549.0,1186.0,5,0,357.2295112787477
40.0,16.666666666666668,10.0,812.0,1281.0,5,1,360.2121552485619
31.666666666666668,12.5,40.0,1552.0,2057.0,5,0,386.9593929495804
29.166666666666668,4.166666666666667,20.0,1325.0,1904.0,5,0,422.2170478848864
8.333333333333334,29.166666666666668,20.0,585.0,1136.0,5,0,471.0892712615273
18.333333333333336,62.5,30.0,2310.0,2659.0,5,0,489.1519569593744
35.0,25.0,10.0,641.0,1070.0,5,1,521.6267428489801
21.666666666666668,26.666666666666668,10.0,2018.0,2725.0,5,1,556.3525269314123
65.0,33.333333333333336,20.0,2599.0,3164.0,5,0,575.2643508034107
23.333333333333336,58.333333333333336,10.0,2385.0,2976.0,5,1,629.3072214650359
51.66666666666667,57.5,10.0,1030.0,1463.0,5,1,643.9929857859589
6.666666666666667,37.5,20.0,1190.0,1661.0,5,0,644.828874877541
50.0,50.0,10.0,1349.0,1712.0,5,1,655.7070174582364
16.666666666666668,70.83333333333334,40.0,1763.0,2264.0,5,0,658.7483873306883
76.66666666666667,25.0,10.0,2169.0,2818.0,5,1,673.2133540080408
48.333333333333336,58.333333333333336,20.0,965.0,1340.0,5,0,687.1688102709253
29.166666666666668,57.5,10.0,2603.0,2952.0,5,1,759.5744975613454
0.0,33.333333333333336,30.0,890.0,1395.0,5,0,766.6361800426839
48.333333333333336,62.5,20.0,839.0,1276.0,5,0,773.7751117273576
25.0,46.66666666666667,20.0,2675.0,3288.0,5,0,799.9681559228571
25.0,25.0,10.0,1932.0,2437.0,5,1,864.3627144359856
35.0,8.333333333333334,40.0,998.0,1481.0,5,0,867.7649918795663
20.833333333333336,70.83333333333334,20.0,1985.0,2412.0,5,0,885.7701425514789
31.666666666666668,8.333333333333334,10.0,1498.0,1921.0,5,1,957.0452880309788
62.5,45.833333333333336,20.0,1783.0,2226.0,5,0,1025.562456152624
6.666666666666667,51.66666666666667,10.0,1330.0,1919.0,5,1,1040.582432108296
28.333333333333336,50.0,20.0,2653.0,3280.0,5,0,1059.8066282475984
16.666666666666668,66.66666666666667,40.0,2077.0,2514.0,5,0,1240.1014423863926
72.5,25.0,10.0,2505.0,2870.0,5,0,1248.601099947302
28.333333333333336,20.833333333333336,30.0,1884.0,2293.0,5,0,1262.0525652005203
18.333333333333336,70.83333333333334,10.0,1846.0,2365.0,5,1,1297.8584264436122
