data_path, num_vehicle,carbon_upper,reject_upper
00C1_4_1.csv,100, 131933.44044617182,401
0C1_4_10.csv,100, 131933.44044617188,401
00C1_4_2.csv,100, 131933.44044617188,401
00C1_4_3.csv,100, 131933.4404461719,401
00C1_4_4.csv,100, 131933.4404461719,401
00C1_4_5.csv,100, 131933.44044617188,401
00C1_4_6.csv,100, 131933.44044617188,401
00C1_4_7.csv,100, 131933.44044617182,401
00C1_4_8.csv,100, 131933.44044617182,401
00C1_4_9.csv,100, 131933.44044617188,401
00C2_4_1.csv,100, 120993.41748673245,401
0C2_4_10.csv,100, 120993.41748673243,401
00C2_4_2.csv,100, 120993.41748673246,401
00C2_4_3.csv,100, 120993.41748673243,401
00C2_4_4.csv,100, 120993.41748673248,401
00C2_4_5.csv,100, 120993.41748673243,401
00C2_4_6.csv,100, 120993.41748673245,401
00C2_4_7.csv,100, 120993.41748673243,401
00C2_4_8.csv,100, 120993.41748673245,401
00C2_4_9.csv,100, 120993.41748673243,401
00R1_4_1.csv,100, 141406.9397366401,401
0R1_4_10.csv,100, 141406.9397366401,401
00R1_4_2.csv,100, 141406.93973664014,401
00R1_4_3.csv,100, 141406.93973664014,401
00R1_4_4.csv,100, 141406.9397366401,401
00R1_4_5.csv,100, 141406.93973664008,401
00R1_4_6.csv,100, 141406.93973664017,401
00R1_4_7.csv,100, 141406.9397366402,401
00R1_4_8.csv,100, 141406.9397366401,401
00R1_4_9.csv,100, 141406.9397366401,401
00R2_4_1.csv,100, 141406.9397366401,401
0R2_4_10.csv,100, 141406.9397366401,401
00R2_4_2.csv,100, 141406.93973664014,401
00R2_4_3.csv,100, 141406.9397366401,401
00R2_4_4.csv,100, 141406.93973664017,401
00R2_4_5.csv,100, 141406.93973664014,401
00R2_4_6.csv,100, 141406.9397366401,401
00R2_4_7.csv,100, 141406.9397366401,401
00R2_4_8.csv,100, 141406.93973664017,401
00R2_4_9.csv,100, 141406.93973664017,401
0RC1_4_1.csv,100, 139127.9045732549,401
RC1_4_10.csv,100, 139127.90457325493,401
0RC1_4_2.csv,100, 139127.90457325496,401
0RC1_4_3.csv,100, 139127.90457325496,401
0RC1_4_4.csv,100, 139127.90457325493,401
0RC1_4_5.csv,100, 139127.9045732549,401
0RC1_4_6.csv,100, 139127.9045732549,401
0RC1_4_7.csv,100, 139127.90457325493,401
0RC1_4_8.csv,100, 139127.9045732549,401
0RC1_4_9.csv,100, 139127.90457325493,401
0RC2_4_1.csv,100, 139127.90457325493,401
RC2_4_10.csv,100, 139127.90457325493,401
0RC2_4_2.csv,100, 139127.90457325493,401
0RC2_4_3.csv,100, 139127.90457325496,401
0RC2_4_4.csv,100, 139127.9045732549,401
0RC2_4_5.csv,100, 139127.90457325493,401
0RC2_4_6.csv,100, 139127.90457325493,401
0RC2_4_7.csv,100, 139127.9045732549,401
0RC2_4_8.csv,100, 139127.9045732549,401
0RC2_4_9.csv,100, 139127.90457325493,401
